trial_id,step_id,P,action,reward
53974,0,43,-8,-0.2904972716826788
53974,1,99,56,1.1703613521219403
53974,2,96,-3,0.7893426256599675
53974,3,80,-16,0.8066711083488894
53974,4,83,3,0.796411211992636
53974,5,86,3,0.33186336773722463
53974,6,64,-22,0.49126029153648304
53974,7,73,9,-0.09265648118039277
53974,8,31,-42,0.768465806045284
53974,9,24,-80,0.3881586766246572
53974,10,38,14,0.6466077592675459
53974,11,41,3,1.0312284635697908
53974,12,41,0,0.8440101074815681
53974,13,41,0,1.1409065776948444
53974,14,41,0,0.8567870565009932
53974,15,41,0,0.9580973133730366
53974,16,41,0,1.4921258187552462
53974,17,42,1,1.2387279448564634
53974,18,42,0,1.0437276632107726
53974,19,43,1,1.0341851830958135
53974,20,43,0,0.7017192262789708
53974,21,47,4,0.32625396169163945
53974,22,27,-20,0.9395639881655826
53974,23,24,-76,0.37596352814482337
53974,24,37,-99,1.02585411760764
53974,25,38,1,0.9891030101318973
53974,26,39,1,0.6038835676901557
53974,27,32,-7,0.8247773117302721
53974,28,31,-95,0.8862118483468198
53974,29,30,-92,0.8804332670484007
53974,30,29,-89,0.7924340246969036
53974,31,28,-86,0.9049437265793145
53974,32,27,-83,1.4064906955536087
53974,33,27,-82,0.6853475080605458
53974,34,21,-70,0.057673030829137356
53974,35,50,29,0.9684104725661103
53974,36,53,3,0.7851798648237582
53974,37,54,1,0.6441211615809519
53974,38,48,-6,0.21364711372177364
53974,39,71,23,0.7589232329964422
53974,40,77,6,0.9726535723544962
53974,41,78,1,0.829469088017826
53974,42,80,2,0.8340227953021598
53974,43,83,3,0.8885971543022263
53974,44,84,1,0.468964790487306
53974,45,68,-16,0.4394972464677549
53974,46,83,15,0.8507871348550273
53974,47,86,3,1.036667432416685
53974,48,86,0,0.5910768824272645
53974,49,93,7,0.1076779453324866
53974,50,57,-36,0.8681635395127044
53974,51,52,-5,0.5117669665721866
53974,52,62,10,0.834135759783498
53974,53,61,-1,0.5848445737594032
53974,54,68,7,1.1783871994623727
53974,55,68,0,1.1034022081618526
53974,56,68,0,1.0717354355400792
53974,57,68,0,1.3793562216600648
53974,58,68,0,0.9782740072105652
53974,59,67,-1,0.8993048691767601
53974,60,66,-1,0.6923618841073854
53974,61,69,3,1.0947184861270363
53974,62,69,0,0.8433493415327525
53974,63,68,-1,0.8596877266943649
53974,64,69,1,1.0027917227376926
53974,65,69,0,1.2099089476040907
53974,66,69,0,1.009011450040346
53974,67,69,0,1.1091360222147424
53974,68,69,0,1.0072101625813807
53974,69,69,0,1.025617427507904
53974,70,69,0,1.0153782774954165
53974,71,69,0,0.46781704100716104
53974,72,54,-15,-0.12268802037171245
53974,73,99,45,0.7755713148950576
53974,74,85,-14,1.1255197075788888
53974,75,83,-2,0.954935600127891
53974,76,84,1,0.618455995627746
53974,77,90,6,1.0973507303609031
53974,78,89,-1,0.97182028910653
53974,79,89,0,1.1744323718706908
53974,80,88,-1,0.9180115470443532
53974,81,89,1,0.6578264399247293
53974,82,96,7,-0.5623844095273433
53974,83,6,-90,1.1011784556828423
53974,84,2,-11,0.5417144587267909
53974,85,10,-23,0.5854827400474287
53974,86,13,-37,1.000227665750271
53974,87,12,-38,0.6601086482121494
53974,88,17,-47,0.9295718550747939
53974,89,15,-48,0.7714059404338753
53974,90,16,-48,0.6656934881004406
53974,91,9,-34,0.3076334398651696
53974,92,25,-60,0.7291584899918924
53974,93,31,-88,1.079110468398565
53974,94,31,-94,1.0941961418526343
53974,95,31,-94,1.0385839220260074
53974,96,31,-94,0.8296769104304782
53974,97,30,-92,0.8144554346955846
53974,98,29,-89,0.6315665201901309
53974,99,33,-96,0.8534399648909855
53974,100,32,-98,0.6269079828410237
53974,101,36,4,0.8202752283253142
53974,102,34,-2,0.5261815112447007
53974,103,41,7,0.9172056031951451
53974,104,41,0,1.1188776039607116
53974,105,41,0,1.0248671052521168
53974,106,41,0,0.8009900213737764
53974,107,43,2,0.6389654902427839
53974,108,37,-6,0.3202052728557995
53974,109,54,17,1.2778478116863818
53974,110,55,1,1.3530908480562194
53974,111,55,0,1.080996342192191
53974,112,55,0,1.4244312394025267
53974,113,55,0,1.2064930521102295
53974,114,55,0,1.0887638856292456
53974,115,55,0,1.1549268106858674
53974,116,55,0,0.9494863697213679
53974,117,55,0,0.7504433636070301
53974,118,52,-3,0.7481352712837503
53974,119,52,0,0.41396430748347385
53974,120,62,10,0.6440305345355157
53974,121,56,-6,0.05815798952677226
53974,122,88,32,0.7738963909987575
53974,123,95,7,0.8480635812259507
53974,124,80,-15,0.8058284164006088
53974,125,84,4,0.979457265053421
53974,126,84,0,0.7273625103273423
53974,127,89,5,0.07049276589714794
53974,128,53,-36,0.7409577065732217
53974,129,46,-7,7.163696484402443e-17
53974,130,80,34,0.85625034247895
53974,131,85,5,0.9331780890784426
53974,132,87,2,1.0649982956459483
53974,133,87,0,0.8229327874743312
53974,134,90,3,0.5648781545393553
53974,135,78,-12,1.1324094797480466
53974,136,77,-1,1.1174986263588473
53974,137,77,0,1.1152145431945308
53974,138,77,0,1.089977824771395
53974,139,77,0,0.8996387800515997
53974,140,78,1,0.8944249235221223
53974,141,79,1,0.7433751163705439
53974,142,83,4,0.2899740948350217
53974,143,59,-24,1.2470485939024682
53974,144,58,-1,0.9248478412587553
53974,145,57,-1,0.8224996325004302
53974,146,56,-1,0.5300290113883174
53974,147,65,9,0.8775955743036574
53974,148,65,0,0.7339993782951852
53974,149,67,2,0.8975057887706317
53974,150,67,0,1.0061500478897556
53974,151,67,0,0.8619100385069017
53974,152,66,-1,0.5966984652401846
53974,153,74,8,0.24911463787923865
53974,154,47,-27,0.7528224145213654
53974,155,42,-5,0.9182118345730331
53974,156,42,0,0.9555098231822307
53974,157,42,0,-0.3852551456267217
53974,158,99,57,0.8620898341301
53974,159,93,-6,1.0173827815819758
53974,160,91,-2,0.8901483636917858
53974,161,93,2,0.3878496742771704
53974,162,72,-21,0.4047660495999186
53974,163,85,13,0.9406108465050683
53974,164,86,1,0.7375855142090181
53974,165,90,4,0.40025274179192794
53974,166,70,-20,0.7961760331285952
53974,167,66,-4,0.45448205216224696
53974,168,78,12,1.031597729709467
53974,169,79,1,0.7220861285716662
53974,170,82,3,0.8925426849831897
53974,171,83,1,0.8439428070007695
